Number,question,answer0,answer1,answer2,corr_answer,level
181,Was ist die wichtigste Maßnahme bei Verdacht auf ein HELLP-Syndrom?,Bettruhe zu Hause,Einnahme von Schmerzmitteln,Sofortige Krankenhausaufnahme und Überwachung,2,2
182,Was ist bei einer Verätzung des Auges mit ungelöschtem Kalk zu beachten?,Sofort mit Wasser spülen,"Kalk trocken entfernen, nicht spülen",Verband anlegen und abwarten,1,2
183,Welche Substanz verursacht in der Regel die schwerwiegenderen Verätzungen?,Säuren,Laugen,Lösungsmittel,1,2
184,Was ist die wichtigste Maßnahme bei Augenverätzungen?,Sofortige Kühlung,Spülen mit steriler Kochsalzlösung oder Leitungswasser,Verband anlegen und Notruf abwarten,1,2
185,Was ist ein typisches Symptom bei einer Glaukomanfall?,Gelbverfärbung der Bindehaut,"Weite, lichtstarre Pupille und harter Augapfel",Starkes Tränen,1,2
186,Welche Maßnahme bei perforierender Augenverletzung ist korrekt?,Fremdkörper entfernen,Steriles Abdecken und ruhigstellen,Druckverband anlegen,1,2
187,Wie äußert sich eine Augenprellung?,Nur leichte Rötung,Doppelbilder und Schmerzen,Ohrgeräusche,1,2
188,Was ist ein Leitsymptom des plötzlichen Sehverlustes?,Rotes Auge,Einseitiger Gesichtsfeldausfall,Schielen,1,2
189,Was ist bei Fremdkörper im Bulbus zu tun?,Sofort entfernen,Belassen und abdecken, Auge auswaschen,1,2
190,Was gehört nicht zu den Augennotfällen?,Glaukomanfall,Trockene Augen,Verätzung,1,2
191,Was ist die häufigste Ursache für Nasenbluten?,Hypotonie,Schleimhautreizung oder Hypertonie,Schilddrüsenüberfunktion,1,2
192,Wie wird Nasenbluten versorgt?,Kopf nach hinten, Kompression der Nasenflügel und Kopf nach vorne,Kalte Dusche,1,2
193,Was ist bei Blutung aus dem Ohr zu tun?,Fremdkörper entfernen,Steril abdecken,Durchspülen,1,2
194,Welche Lagerung bei HNO-bedingter Luftnot ist richtig?,Flachlagerung,Oberkörperhochlagerung,Trendelenburg,1,2
195,Was ist ein Symptom beim akuten Hörsturz?,Bluthochdruck,Druckgefühl im Ohr,Augenschmerzen,1,2
196,Was beschreibt Tinnitus?,Entzündung der Ohrspeicheldrüse,Wahrnehmung von Ohrgeräuschen,Gleichgewichtsstörung,1,2
197,Welche Maßnahme ist bei Tinnitus erforderlich?,Kühlung, Schonender Transport,Notarztalarmierung,1,2
198,Was ist bei einem schweren Schwindelanfall hilfreich?,Hüpfen und Gehen,"Augen schließen, Raum abdunkeln",Viel Trinken,1,2
199,Welche Ursache kann eine Blutung aus dem Mund haben?,Zahnwechsel,Nachblutung nach Tonsillektomie,Heiserkeit,1,2
200,Was sollte bei Bewusstseinsstörung und Blutung erfolgen?,Bauchlage, Freihalten der Atemwege,Druckverband,1,2
201,Was ist ein typisches Symptom bei Nierenkolik?,Atemnot,Krampfartige Flankenschmerzen mit Ausstrahlung,Durchfall,1,2
202,Welche Maßnahme bei Nierenkolik ist sinnvoll?,Kälte und Bettruhe,"Wärme, Knierolle, Lagerung",Sitzenlassen,1,2
203,Was ist ein typisches Symptom des Harnverhalts?,Häufiges Wasserlassen,Quälender Harndrang ohne Mikition,Schmerzen im Fuß,1,2
204,Was kann Ursache eines Harnverhalts sein?,Blinddarmentzündung,Vergrößerte Prostata,Herzinfarkt,1,2
205,Was beschreibt das „akute Skrotum“?,Muskelzucken,Plötzliche Hodenschwellung mit Schmerzen,Stuhlverhalt,1,2
206,Was ist eine häufige Ursache des akuten Skrotums?,Husten,Hodentorsion,Blasensteine,1,2
207,Was ist bei Hodentorsion dringend erforderlich?,Wärme und Ruhe,Schonender Transport in Klinik,Abwarten,1,2
208,Was ist ein Symptom bei Nierenverletzung?,Sehstörungen,Hämaturie und Klopfschmerz,Tinnitus,1,2
209,Was ist bei urologischen Notfällen oft entscheidend?,Abwarten, Früher Transport zur Vermeidung von Folgeschäden,Viel trinken lassen,1,2
